date,region,sector,returns,earnings_growth,pe_ratio
2020-01-31,US,Technology,0.032,0.085,24.5
2020-01-31,US,Financials,0.018,0.062,15.8
2020-01-31,Europe,Technology,0.025,0.071,22.3
2020-01-31,Europe,Industrials,0.014,0.055,18.9
2020-01-31,Japan,Technology,0.020,0.048,20.1
2020-01-31,EM,Materials,0.012,0.066,14.4

2020-02-29,US,Technology,-0.045,-0.021,22.8
2020-02-29,US,Financials,-0.062,-0.034,13.9
2020-02-29,Europe,Technology,-0.051,-0.028,20.4
2020-02-29,Europe,Industrials,-0.058,-0.031,16.7
2020-02-29,Japan,Technology,-0.039,-0.019,18.6
2020-02-29,EM,Materials,-0.072,-0.044,12.3

2020-03-31,US,Technology,-0.120,-0.090,19.5
2020-03-31,US,Financials,-0.145,-0.110,10.8
2020-03-31,Europe,Technology,-0.130,-0.095,17.2
2020-03-31,Europe,Industrials,-0.138,-0.101,14.9
2020-03-31,Japan,Technology,-0.112,-0.080,16.4
2020-03-31,EM,Materials,-0.160,-0.120,9.7

2020-04-30,US,Technology,0.105,0.020,21.3
2020-04-30,US,Financials,0.082,0.015,12.6
2020-04-30,Europe,Technology,0.091,0.018,18.9
2020-04-30,Europe,Industrials,0.074,0.012,16.2
2020-04-30,Japan,Technology,0.087,0.016,17.8
2020-04-30,EM,Materials,0.110,0.022,11.2
